index,Name,Program Identifier,Inspection Date,Description,Address,City,Zip Code,Phone,Longitude,Latitude,Inspection Business Name,Inspection Type,Inspection Score,Inspection Result,Inspection Closed Business,Violation Type,Violation Description,Violation Points,Business_ID,Inspection_Serial_Num,Violation_Record_ID
0,10 MERCER RESTAURANT,10 MERCER RESTAURANT,01/22/2015,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.625063543100005,10 MERCER RESTAURANT,Routine Inspection/Field Review,35,Unsatisfactory,False,blue,"3400 - Wiping cloths properly used, stored, proper sanitizer",5,PR0049572,DAAQWFDUE,IVZB18PCJ
1,10 MERCER RESTAURANT,10 MERCER RESTAURANT,01/22/2015,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.625063543100005,10 MERCER RESTAURANT,Routine Inspection/Field Review,35,Unsatisfactory,False,red,2120 - Proper cold holding temperatures ( 42 degrees F to 45 degrees F),5,PR0049572,DAAQWFDUE,IVM5FHZTZ
2,10 MERCER RESTAURANT,10 MERCER RESTAURANT,01/22/2015,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.625063543100005,10 MERCER RESTAURANT,Routine Inspection/Field Review,35,Unsatisfactory,False,red,1600 - Proper cooling procedure,25,PR0049572,DAAQWFDUE,IVP9QQ5VM
3,10 MERCER RESTAURANT,10 MERCER RESTAURANT,10/13/2014,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.625063543100005,10 MERCER RESTAURANT,Routine Inspection/Field Review,15,Unsatisfactory,False,blue,"4200 - Food-contact surfaces maintained, clean, sanitized",5,PR0049572,DAXVNCBJE,IVGUWCTOT
4,10 MERCER RESTAURANT,10 MERCER RESTAURANT,10/13/2014,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.625063543100005,10 MERCER RESTAURANT,Routine Inspection/Field Review,15,Unsatisfactory,False,red,0600 - Adequate handwashing facilities,10,PR0049572,DAXVNCBJE,IVTJL0B80
5,10 MERCER RESTAURANT,10 MERCER RESTAURANT,07/24/2014,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.625063543100005,10 MERCER RESTAURANT,Consultation/Education - Field,0,Complete,False,,,0,PR0049572,DAYNHEAFM,
6,10 MERCER RESTAURANT,10 MERCER RESTAURANT,02/28/2014,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.625063543100005,10 MERCER RESTAURANT,Routine Inspection/Field Review,17,Unsatisfactory,False,blue,"4800 - Physical facilities properly installed,...",2,PR0049572,DA7MPSAAU,IVQKHEH0O
7,10 MERCER RESTAURANT,10 MERCER RESTAURANT,02/28/2014,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.625063543100005,10 MERCER RESTAURANT,Routine Inspection/Field Review,17,Unsatisfactory,False,blue,"4100 - Warewashing facilities properly installed,...",5,PR0049572,DA7MPSAAU,IVP9ZR2QX
8,10 MERCER RESTAURANT,10 MERCER RESTAURANT,02/28/2014,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.625063543100005,10 MERCER RESTAURANT,Routine Inspection/Field Review,17,Unsatisfactory,False,red,2110 - Proper cold holding temperatures (greater than  45 degrees F),10,PR0049572,DA7MPSAAU,IVPN0ZYFV
9,10 MERCER RESTAURANT,10 MERCER RESTAURANT,12/08/2013,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.625063543100005,10 MERCER RESTAURANT,Consultation/Education - Field,0,Complete,False,,,0,PR0049572,DAT2B6O4J,
10,10 MERCER RESTAURANT,10 MERCER RESTAURANT,10/25/2013,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.625063543100005,10 MERCER RESTAURANT,Return Inspection,0,Satisfactory,False,,,0,PR0049572,DA2473108,
11,10 MERCER RESTAURANT,10 MERCER RESTAURANT,10/12/2013,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.625063543100005,10 MERCER RESTAURANT,Routine Inspection/Field Review,25,Unsatisfactory,False,red,0600 - Adequate handwashing facilities,10,PR0049572,DA2469945,IV6807674
12,10 MERCER RESTAURANT,10 MERCER RESTAURANT,10/12/2013,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.625063543100005,10 MERCER RESTAURANT,Routine Inspection/Field Review,25,Unsatisfactory,False,red,2110 - Proper cold holding temperatures (greater than  45 degrees F),10,PR0049572,DA2469945,IV6807682
13,10 MERCER RESTAURANT,10 MERCER RESTAURANT,10/12/2013,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.625063543100005,10 MERCER RESTAURANT,Routine Inspection/Field Review,25,Unsatisfactory,False,red,0200 - Food Worker Cards current for all food workers; new food workers trained,5,PR0049572,DA2469945,IV6807710
14,10 MERCER RESTAURANT,10 MERCER RESTAURANT,11/17/2012,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.625063543100005,10 MERCER RESTAURANT,Routine Inspection/Field Review,10,Unsatisfactory,False,red,0600 - Adequate handwashing facilities,10,PR0049572,DA2390733,IV6187898
15,10 MERCER RESTAURANT,10 MERCER RESTAURANT,06/25/2012,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.625063543100005,10 MERCER RESTAURANT,Routine Inspection/Field Review,10,Unsatisfactory,False,red,2110 - Proper cold holding temperatures (greater than  45 degrees F),10,PR0049572,DA2345711,IV5506095
16,10 MERCER RESTAURANT,10 MERCER RESTAURANT,10/08/2011,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.625063543100005,10 MERCER RESTAURANT,Routine Inspection/Field Review,5,Unsatisfactory,False,blue,"4100 - Warewashing facilities properly installed,...",5,PR0049572,DA2271020,IV4203085
17,10 MERCER RESTAURANT,10 MERCER RESTAURANT,02/17/2011,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.625063543100005,10 MERCER RESTAURANT,Routine Inspection/Field Review,5,Unsatisfactory,False,red,0200 - Food Worker Cards current for all food...,5,PR0049572,DA2195807,IV3097477
18,10 MERCER RESTAURANT,10 MERCER RESTAURANT,02/16/2011,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.625063543100005,10 MERCER RESTAURANT,Routine Inspection/Field Review,0,Not Accessible,False,,,0,PR0049572,DA2195049,
19,1000 SPIRITS,1000 SPIRITS,01/14/2015,Seating 51-150 - Risk Category III,1225 1ST AVE,SEATTLE,98101,(206) 612-2660,-122.33822298,47.60653938,1000 SPIRITS,Routine Inspection/Field Review,70,Unsatisfactory,False,blue,"3200 - Insects, rodents, animals not present; entrance controlled.",5,PR0082813,DA1PEZKID,IVXYJZ6FV
20,1000 SPIRITS,1000 SPIRITS,01/14/2015,Seating 51-150 - Risk Category III,1225 1ST AVE,SEATTLE,98101,(206) 612-2660,-122.33822298,47.60653938,1000 SPIRITS,Routine Inspection/Field Review,70,Unsatisfactory,False,red,0500 - Proper barriers used to prevent bare hand contact with ready to eat foods.,25,PR0082813,DA1PEZKID,IVVHGJEQH
